Model,Class_or_Avg,Precision,Recall,F1-Score,Support
Decision Tree,Class 1,1.0,1.0,1.0,3385.0
Decision Tree,Class 2,0.7992087042532147,0.8977777777777778,0.8456305599162742,900.0
Decision Tree,Class 3,0.847682119205298,0.7160839160839161,0.7763457164518575,715.0
Decision Tree,macro avg,0.8822969411528375,0.8712872312872313,0.8739920921227106,5000.0
Decision Tree,weighted avg,0.9420761098119363,0.941,0.940230938237545,5000.0
Decision Tree,Overall Accuracy,,,0.941,5000.0
Random Forest,Class 1,1.0,1.0,1.0,3385.0
Random Forest,Class 2,0.7977099236641222,0.9288888888888889,0.8583162217659137,900.0
Random Forest,Class 3,0.8871252204585538,0.7034965034965035,0.7847113884555382,715.0
Random Forest,macro avg,0.894945048040892,0.8774617974617974,0.8810092034071507,5000.0
Random Forest,weighted avg,0.9474466927851152,0.9448,0.9437106484670063,5000.0
Random Forest,Overall Accuracy,,,0.9448,5000.0
